latitude,longitude,STATION_ID,LONGNAME,LINES,ADDRESS,ADA,PKNRD,POINT_X,POINT_Y,LEGEND
41.91065,-87.64917,40650,North/Clybourn,Red,1599 N. Clybourn Avenue,FALSE,FALSE,"1,170,472.73","1,910,775.10",Red Line
41.81033,-87.63102,41230,47th-Dan Ryan,Red,220 W. 47th Street,TRUE,FALSE,"1,175,712.49","1,874,259.92",Red Line
42.04771,-87.68354,40050,Davis,Purple,1612 N. Benson Avenue,TRUE,FALSE,"1,160,739.72","1,960,646.08",Multiple Lines
41.94702,-87.67473,41440,Addison-Ravenswood,Brown,1818 W. Addison Street,TRUE,FALSE,"1,163,413.94","1,923,975.43",Brown Line
41.85427,-87.69482,40440,California-Douglas,Pink,2011 S. California Avenue,TRUE,FALSE,"1,158,201.07","1,890,136.34",Pink Line
41.88573,-87.63088,40380,Clark/Lake,"Brown,Orange,Pink,Purple,Green,Blue",100 W. Lake,TRUE,FALSE,"1,175,525.86","1,901,735.37",Multiple Lines
41.8848,-87.62781,41660,Lake/State,Red,188 N. State,TRUE,FALSE,"1,176,365.32","1,901,404.02",Red Line
42.03345,-87.67953,40270,Main,Purple,836 N. Chicago Avenue,FALSE,FALSE,"1,161,867.22","1,955,459.94",Multiple Lines
41.87388,-87.72562,40920,Pulaski-Congress,Blue,530 S. Pulaski Road,FALSE,FALSE,"1,149,758.98","1,897,220.95",Blue Line
41.95294,-87.72917,40550,Irving Park-O'Hare,Blue,4131 W. Irving Park Road,FALSE,FALSE,"1,148,588.59","1,926,020.54",Blue Line
41.8579,-87.66916,40830,18th,Pink,1710 W. 18th Street,TRUE,FALSE,"1,165,182.26","1,891,511.43",Pink Line
41.78012,-87.61554,41140,King Drive,Green,400 E. 63rd Street,TRUE,FALSE,"1,180,024.55","1,863,287.02",Green Line
41.79517,-87.61832,40510,Garfield-South Elevated,Green,320 E. Garfield Boulevard,TRUE,TRUE,"1,179,221.20","1,868,763.72",Green Line
42.05416,-87.68356,40520,Foster,Purple,900 W. Foster Street,FALSE,FALSE,"1,160,717.14","1,962,996.53",Multiple Lines
41.85192,-87.74534,40420,Cicero-Douglas,Pink,2133 S. 48th Court,TRUE,FALSE,"1,144,443.84","1,889,179.92",Pink Line
41.97345,-87.65852,41200,Argyle,Red,1118 W. Argyle Street,FALSE,FALSE,"1,167,746.83","1,933,638.98",Red Line
41.88896,-87.63397,40460,Merchandise Mart,"Brown,Purple",350 N. Wells Street,TRUE,FALSE,"1,174,675.58","1,902,905.86",Multiple Lines
41.89667,-87.62817,41450,Chicago/State,Red,800 N. State Street,TRUE,FALSE,"1,176,230.96","1,905,725.85",Red Line
41.88269,-87.63385,40730,Washington/Wells,"Brown,Orange,Pink,Purple",100 N. Wells Street,TRUE,FALSE,"1,174,726.84","1,900,620.27",Multiple Lines
41.96425,-87.65773,40540,Wilson,"Purple,Red",4920 N. Broadway Street,TRUE,FALSE,"1,168,029.49","1,930,295.53",Multiple Lines
41.88698,-87.79378,41350,Oak Park-Lake,Green,100 S. Oak Park Avenue,FALSE,FALSE,"1,131,166.01","1,901,870.07",Green Line
41.78661,-87.73795,40930,Midway Airport,Orange,4612 W. 59th Street,TRUE,TRUE,"1,146,620.92","1,865,394.75",Orange Line
41.89607,-87.65521,41410,Chicago/Milwaukee,Blue,800 N. Milwaukee Avenue,FALSE,FALSE,"1,168,871.48","1,905,449.33",Blue Line
41.87872,-87.63373,40040,Quincy/Wells,"Brown,Orange,Pink,Purple",220 S. Wells Street,TRUE,FALSE,"1,174,769.56","1,899,173.23",Multiple Lines
41.91821,-87.65264,40660,Armitage,"Brown,Purple",944 W. Armitage Avenue,TRUE,FALSE,"1,169,507.15","1,913,523.19",Multiple Lines
