STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Y,Pnk,O,longitude,latitude
30144,W,Western (54th/Cermak-bound),Western,Western (Pink Line),40740,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.68512,41.85422
30043,W,Western (Forest Pk Branch) (Forest Pk-bound),Western,Western (Blue Line - Forest Park Branch),40220,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.68843,41.87547
30060,N,Western (Loop-bound),Western,Western (Orange Line),40310,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-87.68401,41.80454
30130,S,Western (O'Hare Branch) (Forest Pk-bound),Western,Western (Blue Line - O'Hare Branch),40670,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.68736,41.91615
30283,N,Western (Kimball-bound),Western,Western (Brown Line),41480,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-87.6885,41.96616
30143,E,Western (Loop-bound),Western,Western (Pink Line),40740,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-87.68512,41.85422
30385,S,Wilson (Loop-bound),Wilson,Wilson (Red & Purple lines),40540,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-87.65758,41.96427
30386,N,Wilson (Linden-bound),Wilson,Wilson (Red & Purple lines),40540,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-87.65758,41.96427
30106,S,Wilson (95th-bound),Wilson,Wilson (Red & Purple lines),40540,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65758,41.96427
30105,N,Wilson (Howard-bound),Wilson,Wilson (Red & Purple lines),40540,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-87.65758,41.96427
