longitude,latitude,STOP_ID,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
-87.67727,41.83042,7658,35TH STREET,ARCHER/HOYNE,WB,NS,35,,CHICAGO,35th Street & Archer
-87.72903,41.99025,15208,PETERSON,PULASKI,WB,FS,84,,CHICAGO,Peterson & Pulaski
-87.72579,41.87713,131,JACKSON,PULASKI,WB,FS,126,,CHICAGO,Jackson & Pulaski
-87.69446,41.99056,11488,PETERSON,ROCKWELL,WB,NS,84,,CHICAGO,Peterson & Rockwell
-87.64877,41.75063,2655,79TH STREET,MORGAN,WB,NS,79,N79,CHICAGO,79th Street & Morgan
-87.64928,41.93277,11042,DIVERSEY,HALSTED,WB,FS,76,,CHICAGO,Diversey & Halsted
-87.56008,41.71364,5269,100TH STREET,TORRENCE,WB,FS,"J14,100",,CHICAGO,100th Street & Torrence
-87.62008,41.76928,7412,69TH STREET,INDIANA,WB,NS,"N5,30,67",N5,CHICAGO,69th Street & Indiana
-87.80105,41.78475,7811,HARLEM,59TH STREET,NB,FS,62H,,CHICAGO,Harlem & 59th Street
-87.70195,41.73708,9991,KEDZIE,8600 SOUTH,NB,MB,52A,,CHICAGO,8600 S Kedzie
-87.53986,41.64839,14065,AVENUE O,13601 S (SENIOR BLDG),NB,MB,30,,CHICAGO,13601 S Avenue O (Senior Bldg)
-87.62667,41.84438,2338,STATE,27TH STREET,NB,MT,29,,CHICAGO,State & 27th Street
-87.69924,42.03058,14364,DODGE,MONROE,NB,NS,"93,206",,EVANSTON,Dodge & Monroe
-87.78152,41.78675,4663,NARRAGANSETT,58TH STREET,NB,NS,55N,,CHICAGO,Narragansett & 58th Street
-87.55096,41.72086,7001,COMMERCIAL,96TH STREET,NB,NS,71,,CHICAGO,Commercial & 96th Street
-87.70079,41.69339,9967,KEDZIE,110TH STREET,NB,MT,52A,,CHICAGO,Kedzie & 110th Street
-87.71099,41.88348,14089,HOMAN,MAYPOLE,NB,NS,82,,CHICAGO,Homan & Maypole
-87.53518,41.70450,7355,EWING,105TH STREET,NB,NS,"26,30",,CHICAGO,Ewing & 105th Street
-87.77423,41.87032,9620,AUSTIN,RAILROAD AVENUE,NB,NS,91,,CHICAGO,Austin & Railroad Ave (Blue Line)
-87.60768,41.70187,2966,COTTAGE GROVE,106TH STREET,NB,NS,"4,115",,CHICAGO,Cottage Grove & 106th Street
-87.52569,41.70079,12258,AVENUE B,107TH STREET,NB,NS,100,,CHICAGO,Avenue B & 107th Street
-87.76622,41.93301,11609,CENTRAL,GEORGE,NB,NS,85,,CHICAGO,Central & George
-87.61016,41.89228,758,NAVY PIER,TERMINAL,NB,TERM,29,,CHICAGO,Navy Pier Terminal
-87.62502,41.90494,1133,LAKE SHORE,SCOTT,NB,MT,151,,CHICAGO,Lake Shore & Scott
-87.64291,41.94779,1161,LAKE SHORE,BROMPTON,NB,MT,"135,146,151",,CHICAGO,Lake Shore & Brompton
-87.62754,41.87684,1113,STATE,VAN BUREN,NB,NS,"2,10,29,130,146,147,148",,CHICAGO,State & Van Buren
-87.65964,41.97336,14454,BROADWAY,ARGYLE (north leg),NB,FS,36,,CHICAGO,Broadway & Argyle
-87.66071,42.00387,1206,SHERIDAN,NORTH SHORE,NB,FS,"147,155",0,CHICAGO,Sheridan & North Shore
-87.70385,41.80794,3118,KEDZIE,47TH STREET,NB,NS,"47,52",,CHICAGO,Kedzie & 47th Street
-87.65659,41.86726,15404,RACINE,ROOSEVELT,NB,FS,60,N60,CHICAGO,Racine & Roosevelt
-87.62597,41.80908,2317,STATE,47TH STREET,NB,NS,29,,CHICAGO,State & 47th Street
-87.76495,41.88558,11582,CENTRAL,FULTON,NB,NS,85,,CHICAGO,Central & Fulton
-87.67716,41.90342,14975,DAMEN,DIVISION,NB,FS,50,,CHICAGO,Damen & Division
-87.60597,41.78763,2498,COTTAGE GROVE,59TH STREET,NB,NS,"2,4",N4,CHICAGO,Cottage Grove & 59th Street
-87.66123,41.85762,13193,LOOMIS,BLUE ISLAND,NB,NS,60,N60,CHICAGO,Loomis & Blue Island
-87.62403,41.87178,1583,MICHIGAN,8TH STREET,NB,NT,"1,3,4",N4,CHICAGO,Michigan & 8th Street
-87.78762,41.98280,9703,NAGLE,BRYN MAWR,NB,NS,86,,CHICAGO,Nagle & Bryn Mawr
-87.63011,41.85767,6283,CLARK,18TH STREET,NB,NS,24,,CHICAGO,Clark & 18th Street
-87.78779,41.97556,9698,NAGLE,FOSTER,NB,NS,86,,CHICAGO,Nagle & Foster
-87.65356,41.74678,5047,RACINE,81ST STREET,NB,NS,44,,CHICAGO,Racine & 81st Street
-87.70593,41.87724,3159,KEDZIE,JACKSON,NB,NS,52,,CHICAGO,Kedzie & Jackson
-87.62950,41.88993,15399,DEARBORN,HUBBARD,NB,NS,"22,36",N22,CHICAGO,Dearborn & Hubbard
-87.76629,41.93484,11610,CENTRAL,WELLINGTON,NB,NS,85,,CHICAGO,Central & Wellington
-87.83652,41.97712,8563,CUMBERLAND,CATHERINE,NB,NS,81W,,CHICAGO,Cumberland & Catherine
-87.69752,41.93239,15218,CALIFORNIA,DIVERSEY,NB,FS,94,,CHICAGO,California & Diversey
-87.68572,41.85981,15091,WESTERN,16TH STREET,NB,FT,"18,49,X49",N49,CHICAGO,Western & 16th Street
-87.83147,41.96657,9714,LAWRENCE,COURTLAND,EB,FS,81W,,NORRIDGE,Lawrence & Courtland
-87.64704,41.76874,10167,69TH STREET,PEORIA,EB,NS,67,,CHICAGO,69th Street & Peoria
-87.76168,41.77429,3367,65TH STREET,CENTRAL,EB,NS,165,,BEDFORD PARK,65th Street & Central
-87.71205,41.92108,11150,KIMBALL,PALMER,SB,NS,82,,CHICAGO,Kimball & Palmer
-87.66312,41.98557,11475,RIDGE,WAYNE,NWB,NS,84,,CHICAGO,Ridge & Wayne
-87.74333,41.79873,4385,ARCHER,CICERO,SWB,FS,"62,62H",,CHICAGO,Archer & Cicero
